회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역,2024년 매출액(원),sector_tag_en,sector_tag_ko,product_tags_en,product_tags_ko,Gemini_Info,Gemini_Hashtags,Benefit_AI,Benefit_Defense,Benefit_Environment,Benefit_Bio,Benefit_Longevity,AI_Benefit,Benefit_Robotics
심플랫폼,444530,소프트웨어 개발 및 공급업,NUBISON AIoT(산업용 데이터 수집과 산업용 AI서비스 운영),2025-03-21,12월,"임대근, 강태신",http://simplatform.com/,서울특별시,,Information Technology,정보기술,['Computer & IT Services'],['컴퓨터·IT 서비스'],"## 심플랫폼(Simplatform) 회사 소개

심플랫폼은 **복잡한 문제를 단순화하고 효율적인 솔루션을 제공하는 데 집중하는 기술 회사**입니다. 다양한 산업 분야의 기업들이 데이터 기반 의사 결정을 내리고 운영 효율성을 높일 수 있도록 **맞춤형 소프트웨어 솔루션 및 컨설팅 서비스**를 제공합니다. 고객의 요구 사항을 정확히 파악하고, 최신 기술을 활용하여 실질적인 비즈니스 가치를 창출하는 데 주력합니다. 특히, **데이터 분석, 자동화, 클라우드 기반 솔루션** 분야에서 강점을 가지고 있으며, 끊임없는 혁신을 통해 고객의 성공을 지원합니다.

## 심플랫폼 제품 & 서비스 해시태그

*   #데이터분석플랫폼
*   #AI자동화솔루션
*   #클라우드기반서비스
*   #맞춤형소프트웨어개발
*   #IT컨설팅
*   #비즈니스인텔리전스(BI)
*   #데이터시각화
*   #머신러닝모델링
*   #프로세스자동화(RPA)
*   #디지털전환컨설팅
",#데이터분석플랫폼 #AI자동화솔루션 #클라우드기반서비스 #맞춤형소프트웨어개발 #IT컨설팅 #비즈니스인텔리전스 #데이터시각화 #머신러닝모델링 #프로세스자동화 #디지털전환컨설팅,1,0,0,0,0,False,1
티엑스알로보틱스,484810,일반 목적용 기계 제조업,"물류자동화, 로봇자동화, AMR/AGV",2025-03-20,12월,엄인섭,http://www.txr.kr,경기도,,Industrials,산업재,['Other Products'],['기타 제품/서비스'],"## 티엑스알로보틱스 (TXR Robotics) 소개

티엑스알로보틱스는 산업용 로봇 자동화 솔루션을 제공하는 혁신적인 기업입니다. 특히 용접, 핸들링, 머신 텐딩 등의 분야에서 로봇 시스템 통합 및 자동화 솔루션을 전문적으로 제공하며, 고객의 생산성 향상과 효율적인 공정 운영을 지원합니다. 맞춤형 솔루션 제공, 기술 컨설팅, 유지보수 서비스 등을 통해 고객의 다양한 요구를 충족시키는 데 주력하고 있습니다.

## 티엑스알로보틱스 제품 및 서비스 (해시태그)

*   #산업용로봇자동화
*   #용접로봇시스템
*   #핸들링로봇시스템
*   #머신텐딩로봇
*   #로봇시스템통합
*   #맞춤형로봇솔루션
*   #로봇기술컨설팅
*   #로봇유지보수
*   #자동화공정설계
*   #로봇프로그래밍
*   #스마트팩토리솔루션
*   #로봇안전교육
*   #로봇자동화라인구축
*   #생산성향상솔루션
*   #효율적인공정운영
",#산업용로봇자동화 #용접로봇시스템 #핸들링로봇시스템 #머신텐딩로봇 #로봇시스템통합 #맞춤형로봇솔루션 #로봇기술컨설팅 #로봇유지보수 #자동화공정설계 #로봇프로그래밍 #스마트팩토리솔루션 #로봇안전교육 #로봇자동화라인구축 #생산성향상솔루션 #효율적인공정운영,0,0,0,0,0,False,1
한텍,98070,일반 목적용 기계 제조업,"열교환기 등 화공기기, 저장용 탱크",2025-03-20,12월,김강식,http://hantechltd.com,울산광역시,,Industrials,산업재,['Other Products'],['기타 제품/서비스'],"## 한텍(HANTECH) 회사 소개

한텍은 **스마트 팩토리 솔루션 및 자동화 시스템 분야**에서 핵심적인 역할을 수행하는 기업입니다. 제조 현장의 생산성 향상과 효율적인 운영을 위해 다양한 솔루션을 제공하며, 특히 **공장 자동화, 스마트 물류, 에너지 관리** 등의 분야에서 뛰어난 기술력을 보유하고 있습니다. 단순히 제품을 판매하는 것뿐만 아니라, 고객 맞춤형 컨설팅, 시스템 구축, 유지보수 등 전반적인 서비스를 제공하여 고객의 성공적인 스마트 팩토리 구축을 돕고 있습니다. 지속적인 기술 개발과 혁신을 통해 스마트 팩토리 시장을 선도하며, 국내 제조업의 경쟁력 강화에 기여하고 있습니다.

## 한텍 제품 및 서비스 (해시태그 형태)

*   #스마트팩토리솔루션
*   #공장자동화
*   #스마트물류
*   #에너지관리시스템
*   #MES (제조실행시스템)
*   #SCADA (감시제어 및 데이터획득)
*   #자동창고시스템
*   #AGV (무인운반차)
*   #AMR (자율이동로봇)
*   #산업용로봇
*   #설비예지보전
*   #공정최적화
*   #빅데이터분석
*   #디지털트윈
*   #IoT플랫폼
*   #컨설팅서비스
*   #시스템구축
*   #유지보수
*   #교육훈련
*   #자동화라인구축
*   #물류자동화
*   #MES구축
*   #SCADA구축
",#스마트팩토리솔루션 #공장자동화 #스마트물류 #에너지관리시스템 #MES #SCADA #자동창고시스템 #AGV #AMR #산업용로봇 #설비예지보전 #공정최적화 #빅데이터분석 #디지털트윈 #IoT플랫폼 #컨설팅서비스 #시스템구축 #유지보수 #교육훈련 #자동화라인구축 #물류자동화 #MES구축 #SCADA구축,1,0,1,0,0,False,1
한화플러스제5호스팩,498390,금융 지원 서비스업,-,2025-03-20,12월,김광후,,서울특별시,,Other Industrials,기타산업,['Other Products'],['기타 제품/서비스'],"## 한화플러스제5호스팩 간단 소개

한화플러스제5호스팩은 기업 인수 목적의 특수목적법인(SPAC, Special Purpose Acquisition Company)입니다. 즉, 자체적인 사업은 없고, 다른 유망한 비상장 기업을 합병하여 상장시키는 것을 목표로 설립된 회사입니다. 투자자들은 이 회사의 주식을 매입하여 합병 성공 시 발생하는 기업 가치 상승을 기대할 수 있습니다. 한화금융그룹 계열인 한화투자증권이 주관하고 있습니다. 중요한 점은, 스팩은 합병에 실패할 경우 청산될 수 있다는 위험을 가지고 있습니다. 투자 결정 시 이 점을 반드시 고려해야 합니다.

## 제품 및 서비스 (예상 가능한 범위 내에서)

한화플러스제5호스팩 자체는 직접적인 제품이나 서비스를 제공하지 않습니다. 하지만, 합병 대상 기업에 따라 제공되는 제품 및 서비스는 달라질 수 있습니다.

**합병 성공 시 예상 가능한 해시태그 예시:**

*   #미래기술 #신재생에너지 #바이오헬스 #IT플랫폼 #소재부품장비 (합병 대상 기업의 사업 분야에 따라 달라짐)
*   #투자 #기업인수 #상장 #금융 #재테크

**참고:** 실제 합병 대상 기업의 사업 내용에 따라 해시태그는 크게 달라질 수 있습니다. 합병 공시를 주의 깊게 확인하시기 바랍니다.
",#미래기술 #신재생에너지 #바이오헬스 #IT플랫폼 #소재부품장비 #투자 #기업인수 #상장 #금융 #재테크,0,0,0,0,0,False,0
씨케이솔루션,480370,"건축기술, 엔지니어링 및 관련 기술 서비스업","드라이룸/클린룸 등 건물용 기계, 장비 설치 공사업",2025-03-17,12월,"김유곤, 안근표 (공동 대표이사)",http://www.cksolution.co.kr/,경기도,,Other Industrials,기타산업,['Other Products'],['기타 제품/서비스'],"## 씨케이솔루션 회사 소개

씨케이솔루션은 다양한 산업 분야에 필요한 솔루션을 제공하는 IT 서비스 전문 기업입니다. 특히 SI(System Integration), SM(System Management), ITO(IT Outsourcing) 분야에서 탄탄한 기술력과 경험을 바탕으로 고객의 비즈니스 혁신과 효율성 향상을 돕고 있습니다. 고객 맞춤형 컨설팅부터 시스템 구축, 유지보수, 아웃소싱까지 IT 전반에 걸쳐 종합적인 서비스를 제공하며, 고객의 성공적인 디지털 전환을 위한 든든한 파트너 역할을 수행하고 있습니다.

## 씨케이솔루션 제품 & 서비스 (해시태그)

* #SI구축
* #SM운영
* #ITO아웃소싱
* #IT컨설팅
* #시스템통합
* #유지보수
* #솔루션개발
* #클라우드서비스
* #디지털트랜스포메이션
* #IT인프라구축
* #맞춤형솔루션
",#SI구축 #SM운영 #ITO아웃소싱 #IT컨설팅 #시스템통합 #유지보수 #솔루션개발 #클라우드서비스 #디지털트랜스포메이션 #IT인프라구축 #맞춤형솔루션,0,0,0,0,0,False,0
서울보증보험,31210,보험업,"보증보험, 신용보험 등",2025-03-14,12월,이명순,http://www.sgic.co.kr,서울특별시,,Other Industrials,기타산업,['Financial Services'],['금융 서비스'],"## 서울보증보험, 믿음직한 대한민국 대표 보증기관

서울보증보험은 대한민국 유일의 종합보증기관으로서, 개인과 기업의 다양한 경제활동에 필요한 보증 서비스를 제공하며 안정적인 경제생활을 지원하는 데 기여하고 있습니다. 오랜 경험과 전문성을 바탕으로 고객의 신뢰를 최우선으로 생각하며, 끊임없는 혁신을 통해 고객에게 최고의 가치를 제공하고자 노력합니다. 다양한 보증 상품을 통해 개인의 금융 생활부터 기업의 성장까지 든든하게 뒷받침하고 있습니다.

**서울보증보험 제품 및 서비스 (해시태그 형태):**

*   #개인보증
*   #전세보증금반환보증
*   #임대보증금보증
*   #신원보증
*   #기업보증
*   #이행보증
*   #인허가보증
*   #신용보험
*   #재해보증
*   #해외보증
*   #SGI파트너스 (중소기업 컨설팅)
*   #온라인보증 (SGI Click)
*   #보증보험청약
*   #보상처리
*   #사이버창구
*   #고객센터
",#개인보증 #전세보증금반환보증 #임대보증금보증 #신원보증 #기업보증 #이행보증 #인허가보증 #신용보험 #재해보증 #해외보증 #SGI파트너스 #온라인보증 #보증보험청약 #보상처리 #사이버창구 #고객센터,0,0,0,0,0,False,0
에스엠씨지,460870,유리 및 유리제품 제조업,화장품 유리용기,2025-03-07,12월,최승호,http://www.somangglass.co.kr,경기도,,Other Industrials,기타산업,['Other Products'],['기타 제품/서비스'],"## 에스엠씨지 (SMCG) 회사 소개

에스엠씨지(SMCG)는 'Smart Media Contents Group'의 약자로, **미디어 콘텐츠 제작 및 유통, 플랫폼 개발 및 운영, 그리고 관련 기술 개발**을 주요 사업 영역으로 하는 회사입니다. 혁신적인 기술과 아이디어를 바탕으로 다양한 미디어 콘텐츠를 기획, 제작하고 있으며, 사용자들에게 더욱 편리하고 풍요로운 미디어 경험을 제공하는 데 힘쓰고 있습니다. 또한, 빠르게 변화하는 미디어 환경에 발맞춰 새로운 기술과 서비스를 지속적으로 개발하며 미래 미디어 시장을 선도하고자 노력하고 있습니다.

## 에스엠씨지 제품 및 서비스 (해시태그)

*   #미디어콘텐츠제작
*   #영상콘텐츠
*   #디지털콘텐츠
*   #플랫폼개발
*   #플랫폼운영
*   #솔루션개발
*   #미디어기술
*   #콘텐츠유통
*   #IP사업
*   #마케팅솔루션
*   #광고플랫폼
*   #뉴미디어콘텐츠
*   #VR콘텐츠
*   #AR콘텐츠
*   #메타버스콘텐츠
*   #OTT플랫폼
*   #콘텐츠제작지원
*   #콘텐츠마케팅
*   #디지털마케팅
*   #영상제작대행
",#미디어콘텐츠제작 #영상콘텐츠 #디지털콘텐츠 #플랫폼개발 #플랫폼운영 #솔루션개발 #미디어기술 #콘텐츠유통 #IP사업 #마케팅솔루션 #광고플랫폼 #뉴미디어콘텐츠 #VR콘텐츠 #AR콘텐츠 #메타버스콘텐츠 #OTT플랫폼 #콘텐츠제작지원 #콘텐츠마케팅 #디지털마케팅 #영상제작대행,1,0,0,0,0,False,0
엠디바이스,226590,전자부품 제조업,반도체기억장치,2025-03-07,12월,조호경,,경기도,,Other Industrials,기타산업,['Other Products'],['기타 제품/서비스'],"## 엠디바이스 소개

엠디바이스는 의료기기 전문 기업으로, 첨단 기술을 기반으로 혁신적인 제품과 서비스를 제공하며 의료 현장의 발전에 기여하고 있습니다. 환자의 안전과 편의성을 최우선으로 생각하며, 지속적인 연구 개발을 통해 고품질의 의료기기를 선보이고 있습니다. 주요 사업 분야는 영상진단 장비, 치료 장비, 그리고 관련 소모품 및 서비스를 포함합니다.

## 엠디바이스 제품 및 서비스 (해시태그)

*   #디지털엑스레이 #DR시스템
*   #이동형엑스레이 #PortableX-ray
*   #유방촬영장치 #Mammography
*   #C-Arm #씨암
*   #PACS #의료영상저장전송시스템
*   #의료영상솔루션 #ImageSolution
*   #의료기기유지보수 #MaintenanceService
*   #의료기기컨설팅 #MedicalDeviceConsulting
*   #의료기기교육 #TrainingService
*   #원격진료솔루션 #TelemedicineSolution (제공하는 경우)
*   #AI기반진단솔루션 #AIDiagnostics (제공하는 경우)
",#디지털엑스레이 #DR시스템 #이동형엑스레이 #PortableX #유방촬영장치 #Mammography #C #씨암 #PACS #의료영상저장전송시스템 #의료영상솔루션 #ImageSolution #의료기기유지보수 #MaintenanceService #의료기기컨설팅 #MedicalDeviceConsulting #의료기기교육 #TrainingService #원격진료솔루션 #TelemedicineSolution #AI기반진단솔루션 #AIDiagnostics,1,0,0,1,0,False,0
대진첨단소재,393970,플라스틱제품 제조업,"이차전지 공정용 대전방지트레이, 대전방지코팅액, 이차전지용 PET이형필름",2025-03-06,12월,"유성준, 장현주",http://daejin2019.com,서울특별시,,Other Industrials,기타산업,['Other Products'],['기타 제품/서비스'],"## 대진첨단소재 소개

대진첨단소재는 다양한 산업 분야에 적용되는 고품질의 첨단 소재를 개발, 생산, 판매하는 기업입니다. 특히, 반도체, 디스플레이, 자동차, 전자, 건축 등 다양한 분야에 필요한 핵심 소재를 제공하며, 끊임없는 연구 개발을 통해 혁신적인 제품을 선보이고 있습니다. 고객 맞춤형 솔루션 제공에도 힘쓰며, 고객의 니즈에 맞는 최적의 소재를 제공하기 위해 노력합니다.

## 제품 및 서비스 (해시태그)

* #반도체공정재료 #반도체CMP슬러리 #반도체세정제 #반도체식각액
* #디스플레이재료 #LCD재료 #OLED재료 #QD재료
* #자동차재료 #자동차경량화소재 #자동차내장재 #자동차외장재
* #전자재료 #전자부품소재 #전자제품코팅제 #전자제품접착제
* #건축자재 #건축용단열재 #건축용방수재 #건축용접착제
* #고객맞춤형솔루션 #소재컨설팅 #기술지원 #연구개발 #품질관리
",#반도체공정재료 #반도체CMP슬러리 #반도체세정제 #반도체식각액 #디스플레이재료 #LCD재료 #OLED재료 #QD재료 #자동차재료 #자동차경량화소재 #자동차내장재 #자동차외장재 #전자재료 #전자부품소재 #전자제품코팅제 #전자제품접착제 #건축자재 #건축용단열재 #건축용방수재 #건축용접착제 #고객맞춤형솔루션 #소재컨설팅 #기술지원 #연구개발 #품질관리,0,0,0,0,0,False,0
에르코스,435570,도시락 및 식사용 조리식품 제조업,"영유아식, 고령친화식품, 식물기반 대체식품",2025-02-28,12월,김슬기,http://www.ercohs.com,대전광역시,,Other Industrials,기타산업,['Other Products'],['기타 제품/서비스'],"## 에르코스(Ergos) 회사 소개

에르코스는 **산업용 로봇 및 자동화 솔루션** 분야에서 혁신을 주도하는 기업입니다. 특히, **협동 로봇(Collaborative Robot, Cobot)** 기술을 기반으로 다양한 산업 현장에 최적화된 자동화 솔루션을 제공하며, 생산성 향상, 작업 환경 개선, 그리고 인력 부족 문제 해결에 기여하고 있습니다. 에르코스는 고객 맞춤형 솔루션을 통해 자동화 도입의 장벽을 낮추고, 더 안전하고 효율적인 작업 환경을 구축하는 데 힘쓰고 있습니다.

## 에르코스 제품 & 서비스 해시태그

*   #협동로봇
*   #산업용로봇
*   #자동화솔루션
*   #로봇시스템통합 (Robot System Integration, SI)
*   #맞춤형자동화
*   #생산자동화
*   #로봇안전컨설팅
*   #로봇프로그래밍
*   #자동화교육
*   #스마트팩토리솔루션
*   #협동로봇데모
*   #로봇유지보수
*   #로봇기술지원
",#협동로봇 #산업용로봇 #자동화솔루션 #로봇시스템통합 #맞춤형자동화 #생산자동화 #로봇안전컨설팅 #로봇프로그래밍 #자동화교육 #스마트팩토리솔루션 #협동로봇데모 #로봇유지보수 #로봇기술지원,0,0,0,0,0,False,1
