회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역,2024년 매출액(원),sector_tag_en,sector_tag_ko,product_tags_en,product_tags_ko,OpenAI_Info,OpenAI_Hashtags,AI,Robotics,Defense,Environment,Bio,Longevity
심플랫폼,444530,소프트웨어 개발 및 공급업,NUBISON AIoT(산업용 데이터 수집과 산업용 AI서비스 운영),2025-03-21,12월,"임대근, 강태신",http://simplatform.com/,서울특별시,,Information Technology,정보기술,['Computer & IT Services'],['컴퓨터·IT 서비스'],"심플랫폼은 혁신적인 소프트웨어 솔루션을 제공하는 기업으로, 주로 데이터 분석 및 클라우드 서비스를 중심으로 활동하고 있습니다. 이 회사는 사용자 친화적인 인터페이스와 강력한 기능을 통해 기업의 효율성을 높이고, 데이터 기반 의사 결정을 지원하는 데 중점을 두고 있습니다.

제공하는 제품과 서비스는 다음과 같습니다:
#데이터분석 #클라우드서비스 #비즈니스인텔리전스 #AI솔루션 #모바일앱개발 #API서비스",#데이터분석 #클라우드서비스 #비즈니스인텔리전스 #AI솔루션 #모바일앱개발 #API서비스,1,0,0,0,0,0
티엑스알로보틱스,484810,일반 목적용 기계 제조업,"물류자동화, 로봇자동화, AMR/AGV",2025-03-20,12월,엄인섭,http://www.txr.kr,경기도,,Industrials,산업재,['Other Products'],['기타 제품/서비스'],"티엑스알로보틱스(TXR Robotics)는 로봇 기술과 인공지능(AI)을 활용하여 다양한 산업 분야에서 자동화 솔루션을 제공하는 회사입니다. 이 회사는 특히 물류, 제조, 서비스 산업에서의 효율성을 높이기 위한 로봇 시스템을 개발하고 있습니다.

티엑스알로보틱스가 제공하는 제품과 서비스는 다음과 같습니다:

#로봇솔루션 #AI기반자동화 #물류로봇 #제조로봇 #서비스로봇 #로봇컨설팅 #시스템통합 #기술지원",#로봇솔루션 #AI기반자동화 #물류로봇 #제조로봇 #서비스로봇 #로봇컨설팅 #시스템통합 #기술지원,1,1,0,0,0,0
한텍,98070,일반 목적용 기계 제조업,"열교환기 등 화공기기, 저장용 탱크",2025-03-20,12월,김강식,http://hantechltd.com,울산광역시,,Industrials,산업재,['Other Products'],['기타 제품/서비스'],"한텍(HTEC)은 다양한 산업 분야에서 첨단 기술 솔루션을 제공하는 회사입니다. 주로 전자기기 및 기계 관련 제품을 개발하고, 고객 맞춤형 솔루션을 통해 산업의 효율성과 경쟁력을 높이는 데 기여하고 있습니다.

한텍이 제공하는 제품과 서비스는 다음과 같습니다:

#전자기기 #기계솔루션 #맞춤형소프트웨어 #산업자동화 #IoT솔루션 #데이터분석 #기술컨설팅",#전자기기 #기계솔루션 #맞춤형소프트웨어 #산업자동화 #IoT솔루션 #데이터분석 #기술컨설팅,1,0,0,0,0,0
한화플러스제5호스팩,498390,금융 지원 서비스업,-,2025-03-20,12월,김광후,,서울특별시,,Other Industrials,기타산업,['Other Products'],['기타 제품/서비스'],"'한화플러스제5호스팩'은 한화그룹의 SPAC(Special Purpose Acquisition Company)으로, 주로 유망한 기업과의 합병을 통해 상장하는 것을 목표로 하는 투자 회사입니다. 이 회사는 혁신적인 기업과의 협력을 통해 더 큰 성장 가능성을 추구하고 있습니다.

제공하는 제품 및 서비스에 대한 해시태그:
#투자 #합병 #상장 #기업인수 #유망기업발굴",#투자 #합병 #상장 #기업인수 #유망기업발굴,0,0,0,0,0,0
씨케이솔루션,480370,"건축기술, 엔지니어링 및 관련 기술 서비스업","드라이룸/클린룸 등 건물용 기계, 장비 설치 공사업",2025-03-17,12월,"김유곤, 안근표 (공동 대표이사)",http://www.cksolution.co.kr/,경기도,,Other Industrials,기타산업,['Other Products'],['기타 제품/서비스'],"씨케이솔루션(CK Solution)은 IT 솔루션과 서비스를 제공하는 회사로, 다양한 산업 분야에 걸쳐 고객의 비즈니스 효율성을 높이는 데 기여하고 있습니다. 이 회사는 소프트웨어 개발, 시스템 통합, 데이터 분석 및 IT 컨설팅 등 다양한 서비스를 통해 고객에게 맞춤형 솔루션을 제공합니다.

#소프트웨어개발 #시스템통합 #데이터분석 #IT컨설팅 #클라우드서비스 #보안솔루션 #모바일앱개발",#소프트웨어개발 #시스템통합 #데이터분석 #IT컨설팅 #클라우드서비스 #보안솔루션 #모바일앱개발,1,0,0,0,0,0
서울보증보험,31210,보험업,"보증보험, 신용보험 등",2025-03-14,12월,이명순,http://www.sgic.co.kr,서울특별시,,Other Industrials,기타산업,['Financial Services'],['금융 서비스'],"서울보증보험은 대한민국의 대표적인 보험회사로, 주로 보증보험 상품을 제공하며, 기업과 개인을 대상으로 다양한 금융 서비스를 제공합니다. 서울보증보험은 신뢰성을 바탕으로 보험 및 보증 관련 솔루션을 제공하여 고객의 리스크를 관리하고, 안정적인 금융 환경을 조성하는 데 기여하고 있습니다.

제공하는 제품과 서비스는 다음과 같습니다:

#보증보험 #신용보험 #연대보증 #금융보증 #계약보증 #상업보험 #주택임대보증 #기업리스크관리 #신용평가서비스 #보험상품컨설팅",#보증보험 #신용보험 #연대보증 #금융보증 #계약보증 #상업보험 #주택임대보증 #기업리스크관리 #신용평가서비스 #보험상품컨설팅,0,0,0,0,0,0
에스엠씨지,460870,유리 및 유리제품 제조업,화장품 유리용기,2025-03-07,12월,최승호,http://www.somangglass.co.kr,경기도,,Other Industrials,기타산업,['Other Products'],['기타 제품/서비스'],"에스엠씨지(SMCG)는 다양한 산업 분야에 걸쳐 혁신적인 솔루션을 제공하는 기업으로, 주로 IT 및 통신 관련 제품과 서비스를 전문으로 합니다. 고객의 요구에 맞춘 맞춤형 솔루션을 통해 생산성과 효율성을 높이는 데 기여하고 있습니다.

제공하는 제품과 서비스는 다음과 같습니다:
#IT솔루션 #통신서비스 #모바일애플리케이션 #클라우드서비스 #네트워크장비 #데이터분석 #보안솔루션",#IT솔루션 #통신서비스 #모바일애플리케이션 #클라우드서비스 #네트워크장비 #데이터분석 #보안솔루션,1,0,0,0,0,0
엠디바이스,226590,전자부품 제조업,반도체기억장치,2025-03-07,12월,조호경,,경기도,,Other Industrials,기타산업,['Other Products'],['기타 제품/서비스'],"엠디바이스(MDevice)는 의료기기 및 헬스케어 솔루션을 전문으로 하는 기업입니다. 최신 기술을 활용하여 환자의 건강 관리를 지원하고, 의료 현장에서의 효율성을 높이는 다양한 제품과 서비스를 제공합니다.

#의료기기 #헬스케어솔루션 #건강관리 #환자모니터링 #의료소프트웨어 #원격진료 #데이터분석 #스마트디바이스",#의료기기 #헬스케어솔루션 #건강관리 #환자모니터링 #의료소프트웨어 #원격진료 #데이터분석 #스마트디바이스,1,0,0,0,1,1
대진첨단소재,393970,플라스틱제품 제조업,"이차전지 공정용 대전방지트레이, 대전방지코팅액, 이차전지용 PET이형필름",2025-03-06,12월,"유성준, 장현주",http://daejin2019.com,서울특별시,,Other Industrials,기타산업,['Other Products'],['기타 제품/서비스'],"대진첨단소재는 고성능 복합재료 및 첨단 소재를 개발하고 제조하는 기업으로, 다양한 산업 분야에 적용할 수 있는 혁신적인 솔루션을 제공합니다. 이 회사는 특히 항공우주, 자동차, 전자기기 등에서 사용되는 고기능성 소재를 전문으로 하고 있습니다.

#복합재료 #고기능성소재 #항공우주소재 #자동차부품 #전자기기소재 #신소재개발 #재료공학 #첨단소재솔루션",#복합재료 #고기능성소재 #항공우주소재 #자동차부품 #전자기기소재 #신소재개발 #재료공학 #첨단소재솔루션,0,0,0,0,0,0
에르코스,435570,도시락 및 식사용 조리식품 제조업,"영유아식, 고령친화식품, 식물기반 대체식품",2025-02-28,12월,김슬기,http://www.ercohs.com,대전광역시,,Other Industrials,기타산업,['Other Products'],['기타 제품/서비스'],"'에르코스'는 주로 미용 및 화장품 산업에 중점을 둔 한국의 회사입니다. 이 회사는 혁신적인 제품과 서비스를 통해 고객의 아름다움을 극대화하는 것을 목표로 하고 있습니다. 에르코스는 다양한 피부 관리 솔루션과 화장품을 제공하며, 연구 개발에 힘쓰고 있습니다.

제공하는 제품 및 서비스는 다음과 같습니다:

#스킨케어 #메이크업 #피부관리 #화장품 #뷰티컨설팅 #미용기기 #피부진단 #트리트먼트",#스킨케어 #메이크업 #피부관리 #화장품 #뷰티컨설팅 #미용기기 #피부진단 #트리트먼트,0,0,0,0,1,1
엘케이켐,489500,기타 화학제품 제조업,"반도체 소재(CP, PCP, DIS) 등",2025-02-25,12월,이창엽,http://lkchem.co.kr,충청남도,,Materials,소재,['Other Products'],['기타 제품/서비스'],"엘케이켐(LK Chem)은 주로 화학 및 소재 산업에 종사하는 기업으로, 다양한 산업 분야에 필요한 고급 화학 제품과 소재를 제공합니다. 이 회사는 지속 가능한 발전과 혁신을 목표로 하며, 고객의 요구에 맞춘 다양한 솔루션을 개발하고 있습니다.

제품과 서비스 해시태그:
#고급화학제품 #소재개발 #산업용화학 #환경친화적솔루션 #특수화학물질 #맞춤형서비스",#고급화학제품 #소재개발 #산업용화학 #환경친화적솔루션 #특수화학물질 #맞춤형서비스,0,0,0,1,0,0
위너스,479960,기타 전기장비 제조업,"배선기구(스위치, 콘센트, 멀티탭), 전기차 충전기(급속, 완속)",2025-02-24,12월,김창성,http://www.wns21.co.kr/,,,Other Industrials,기타산업,['Other Products'],['기타 제품/서비스'],"위너스는 다양한 분야에서 혁신적인 솔루션을 제공하는 회사로, 고객의 요구를 충족시키기 위해 지속적으로 노력하고 있습니다. 이 회사는 특히 IT 및 소프트웨어 개발, 컨설팅, 교육 서비스에 주력하고 있습니다.

위너스가 제공하는 제품과 서비스는 다음과 같습니다:

#소프트웨어개발 #IT컨설팅 #교육서비스 #모바일앱 #웹개발 #데이터분석 #클라우드서비스",#소프트웨어개발 #IT컨설팅 #교육서비스 #모바일앱 #웹개발 #데이터분석 #클라우드서비스,1,0,0,0,0,0
모티브링크,463480,전자부품 제조업,"EV용 Main Transformer, EV용 Line Filter",2025-02-20,12월,김기한,http://evpart.co.kr,경기도,,Other Industrials,기타산업,['Other Products'],['기타 제품/서비스'],"모티브링크(MotiveLink)는 혁신적인 기술과 솔루션을 제공하는 IT 기업으로, 주로 데이터 분석 및 인공지능(AI) 기반의 서비스를 전문으로 합니다. 이 회사는 고객의 비즈니스 효율성을 높이고, 데이터-driven 의사결정을 지원하는 다양한 제품을 제공합니다.

#데이터분석 #인공지능솔루션 #클라우드서비스 #비즈니스인사이트 #예측분석",#데이터분석 #인공지능솔루션 #클라우드서비스 #비즈니스인사이트 #예측분석,1,0,0,0,0,0
동국생명과학,303810,의약품 제조업,"조영제 완제 및 원료, 의료기기 유통",2025-02-17,12월,박재원,http://dkls.co.kr,서울특별시,,Other Industrials,기타산업,['Other Products'],['기타 제품/서비스'],"동국생명과학은 생명과학 분야에서 혁신적인 솔루션을 제공하는 회사로, 주로 의료기기 및 진단 제품을 개발하고 생산합니다. 이 회사는 생명과학 연구와 의료 분야에 기여하며, 체외 진단기기 및 다양한 생명과학 관련 제품을 제공합니다.

주요 제품과 서비스는 다음과 같습니다:

#체외진단기기 #분자진단키트 #혈액검사기기 #생화학분석기 #진단소모품 #연구용시약 #DNA추출키트 #세포배양제품 #생명과학연구서비스",#체외진단기기 #분자진단키트 #혈액검사기기 #생화학분석기 #진단소모품 #연구용시약 #DNA추출키트 #세포배양제품 #생명과학연구서비스,0,0,0,0,1,0
오름테라퓨틱,475830,기초 의약물질 제조업,항체약물접합체(ADC) 단백질 분해제(TPD) 연구 개발,2025-02-14,12월,이승주,,대전광역시,,Other Industrials,기타산업,['Other Products'],['기타 제품/서비스'],"오름테라퓨틱(Orum Therapeutics)은 혁신적인 생명공학 회사로, 주로 항암제 개발과 치료법 연구에 집중하고 있습니다. 이 회사는 최첨단 기술을 활용하여 암세포를 타겟으로 하는 치료제를 개발하며, 환자 맞춤형 치료 솔루션을 제공하는 데 중점을 두고 있습니다.

오름테라퓨틱이 제공하는 제품과 서비스는 다음과 같습니다:

#항암제 #맞춤형치료 #생명공학연구 #혁신적인치료솔루션",#항암제 #맞춤형치료 #생명공학연구 #혁신적인치료솔루션,0,0,0,0,1,0
동방메디컬,240550,의료용 기기 제조업,"필러, 한방침",2025-02-13,12월,김근식,http://www.dongbangmedical.co.kr/,충청남도,,Other Industrials,기타산업,['Other Products'],['기타 제품/서비스'],"동방메디컬은 의료기기 및 헬스케어 솔루션을 전문으로 하는 회사로, 혁신적인 기술을 바탕으로 다양한 제품을 개발하여 의료 분야에 기여하고 있습니다. 이 회사는 환자의 안전과 치료 효과를 높이기 위해 최신 기술을 적용한 의료 장비와 솔루션을 제공합니다.

제품과 서비스에 대한 해시태그는 다음과 같습니다:

#의료기기 #헬스케어솔루션 #진단장비 #치료장비 #환자모니터링 #재활기기 #의료소프트웨어 #원격진료 #디지털헬스",#의료기기 #헬스케어솔루션 #진단장비 #치료장비 #환자모니터링 #재활기기 #의료소프트웨어 #원격진료 #디지털헬스,0,0,0,0,1,0
아이에스티이,212710,반도체 제조업,반도체 제조용 장비,2025-02-12,12월,조창현,http://iste.co.kr/,경기도,,Other Industrials,기타산업,['Other Products'],['기타 제품/서비스'],"아이에스티이(ISTE)는 정보 기술 및 통신 솔루션을 제공하는 회사로, 다양한 산업 분야에 걸쳐 혁신적인 기술을 통해 고객의 비즈니스 성장을 지원합니다. 이 회사는 특히 소프트웨어 개발, IT 컨설팅, 클라우드 서비스, 그리고 데이터 분석 솔루션에 강점을 가지고 있습니다.

#소프트웨어개발 #IT컨설팅 #클라우드서비스 #데이터분석 #정보보안 #디지털전환 #모바일앱개발",#소프트웨어개발 #IT컨설팅 #클라우드서비스 #데이터분석 #정보보안 #디지털전환 #모바일앱개발,0,0,0,0,0,0
LG씨엔에스,64400,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","컨설팅, 시스템 구축/운영, 토탈 아웃소싱 및 AI, 클라우드·스마트팩토리 등 IT신기술 기반의 DX사업",2025-02-05,12월,현신균,http://www.lgcns.com,서울특별시,"5,605,300,168,000",Other Industrials,기타산업,['Other Products'],['기타 제품/서비스'],"LG씨엔에스(LG CNS)는 LG그룹의 IT 서비스 전문 회사로, 정보통신 기술(ICT) 분야에서 다양한 솔루션과 서비스를 제공합니다. 이 회사는 기업의 디지털 전환을 지원하고, 클라우드, 빅데이터, 인공지능(AI) 등의 최신 기술을 활용하여 고객의 비즈니스 효율성을 높이는 데 기여하고 있습니다.

제공하는 제품과 서비스는 다음과 같습니다:

#클라우드서비스 #빅데이터솔루션 #인공지능서비스 #IoT솔루션 #IT컨설팅 #보안서비스 #디지털전환 #시스템통합 #소프트웨어개발 #모바일솔루션",#클라우드서비스 #빅데이터솔루션 #인공지능서비스 #IoT솔루션 #IT컨설팅 #보안서비스 #디지털전환 #시스템통합 #소프트웨어개발 #모바일솔루션,1,0,0,0,0,0
아이지넷,462980,기타 정보 서비스업,"보험 서비스 어플리케이션, 기업용 보험 솔루션",2025-02-04,12월,"김창균, 김지태",,서울특별시,,Other Industrials,기타산업,['Other Products'],['기타 제품/서비스'],"아이지넷은 IT 솔루션과 서비스를 제공하는 기업으로, 주로 정보 보안, 데이터 관리 및 클라우드 서비스 분야에서 활동하고 있습니다. 이 회사는 고객의 비즈니스 요구에 맞춘 혁신적인 기술과 솔루션을 통해 효율성과 생산성을 향상시키는 데 중점을 두고 있습니다.

아이지넷의 제품과 서비스는 다음과 같습니다:

#정보보안 #데이터관리 #클라우드서비스 #IT컨설팅 #네트워크관리 #소프트웨어개발 #모바일솔루션 #시스템통합",#정보보안 #데이터관리 #클라우드서비스 #IT컨설팅 #네트워크관리 #소프트웨어개발 #모바일솔루션 #시스템통합,0,0,0,0,0,0
피아이이,452450,특수 목적용 기계 제조업,AI 비전 솔루션 및 스마트팩토리 솔루션,2025-02-04,12월,"최정일, 김현준",http://piegroup.co.kr,경기도,,Industrials,산업재,['Other Products'],['기타 제품/서비스'],"피아이이는 혁신적인 기술을 바탕으로 다양한 산업 분야에 솔루션을 제공하는 회사입니다. 주로 IT 및 소프트웨어 개발, 데이터 분석, 클라우드 서비스 등에서 활동하며, 고객의 비즈니스 요구에 맞춘 맞춤형 솔루션을 제공합니다.

피아이이가 제공하는 제품과 서비스는 다음과 같습니다:
#소프트웨어개발 #데이터분석 #클라우드서비스 #IT컨설팅 #모바일앱개발 #AI솔루션 #사이버보안 #ERP시스템 #웹개발 #디지털전환",#소프트웨어개발 #데이터분석 #클라우드서비스 #IT컨설팅 #모바일앱개발 #AI솔루션 #사이버보안 #ERP시스템 #웹개발 #디지털전환,1,0,0,0,0,0
삼양엔씨켐,482630,기타 화학제품 제조업,"반도체 포토레지스트용 기초화합물(KrF PR용 소재, ArF PR용 소재, Wet Chemical)",2025-02-03,12월,정회식,http://www.samyangncchem.com,경기도,,Materials,소재,['Other Products'],['기타 제품/서비스'],"삼양엔씨켐(Samyang NCP)은 고기능성 화학소재 및 필름 분야에서 활동하는 한국의 기업입니다. 이 회사는 다양한 산업에 필요한 특수 화학 제품을 개발하고 공급하며, 특히 전자, 자동차, 건축 등 여러 분야에서 사용되는 고품질 소재를 생산하고 있습니다.

삼양엔씨켐이 제공하는 제품과 서비스는 다음과 같습니다:

#고기능성화학소재 #특수필름 #산업용소재 #전자재료 #자동차부품 #건축자재 #고분자소재 #화학제품개발 #기술지원 #맞춤형솔루션",#고기능성화학소재 #특수필름 #산업용소재 #전자재료 #자동차부품 #건축자재 #고분자소재 #화학제품개발 #기술지원 #맞춤형솔루션,0,0,0,0,0,0
데이원컴퍼니,373160,기타 교육기관,성인대상 교육서비스,2025-01-24,12월,이강민,http://day1company.co.kr/,서울특별시,,Other Industrials,기타산업,['Other Products'],['기타 제품/서비스'],"데이원컴퍼니는 혁신적인 기술을 바탕으로 다양한 분야에서 제품과 서비스를 제공하는 기업입니다. 특히 건강과 웰빙 관련 솔루션을 중심으로 활동하며, 사용자 중심의 경험을 중요시합니다.

#건강기능식품 #스마트헬스케어 #웰빙서비스 #온라인쇼핑 #맞춤형영양제",#건강기능식품 #스마트헬스케어 #웰빙서비스 #온라인쇼핑 #맞춤형영양제,0,0,0,0,1,1
아스테라시스,450950,의료용 기기 제조업,"피부 미용의료기기 제조, 판매",2025-01-24,12월,서은택,http://asterasys.com,서울특별시,,Other Industrials,기타산업,['Other Products'],['기타 제품/서비스'],"아스테라시스(Asterasys)는 혁신적인 기술과 솔루션을 제공하는 회사로, 주로 데이터 분석, 인공지능, 클라우드 서비스 분야에서 활동하고 있습니다. 고객의 비즈니스 성장을 지원하기 위해 다양한 제품과 서비스를 개발하고 있습니다.

#데이터분석 #인공지능 #클라우드서비스 #비즈니스솔루션 #소프트웨어개발",#데이터분석 #인공지능 #클라우드서비스 #비즈니스솔루션 #소프트웨어개발,1,0,0,0,0,0
